205,256,62,32
205,256,59,30
201,251,61,33
199,242,67,37
202,239,55,40
196,235,65,42
194,231,65,44
199,230,57,41
195,229,61,40
197,229,60,38
197,226,59,37
196,227,59,32
198,227,59,27
197,219,58,33
197,216,55,31
198,210,54,35
197,205,56,37
198,201,53,38
197,199,55,40
199,196,49,43
200,196,48,42
200,195,52,43
200,195,50,43
199,195,49,43
198,195,51,38
198,194,50,33
198,191,49,29
198,187,50,33
197,185,53,35
197,182,53,37
195,178,55,40
196,175,53,42
197,170,51,46
197,166,52,49
198,162,50,50
198,159,50,52
195,156,52,54
195,153,52,54
194,151,52,54
194,150,54,50
192,148,54,51
192,145,53,51
192,144,54,50
193,141,51,50
193,138,50,49
191,136,50,48
189,135,52,44
188,133,53,45
185,130,56,47
183,129,57,47
181,128,62,50
179,126,60,50
177,123,62,53
175,121,67,53
175,119,65,52
174,117,65,51
174,117,65,46
174,117,66,45
174,113,66,43
173,110,68,44
172,109,71,42
171,108,70,42
172,107,68,42
171,105,71,45
169,105,73,44
171,104,70,46
171,103,70,46
171,104,72,45
170,104,71,46
171,103,69,46
169,102,73,46
169,103,70,45
170,102,69,46
169,102,70,46
169,102,70,47
171,102,68,46
173,101,66,49
172,101,65,47
172,99,66,48
170,102,68,47
168,99,70,49
171,99,69,50
172,99,66,49
172,102,67,48
173,103,66,46
173,102,67,46
173,105,67,44
176,104,65,44
176,107,67,44
178,108,61,44
177,107,63,44
183,112,58,41
177,112,63,45
186,113,55,49
190,113,50,50
191,115,53,51
192,119,54,52
195,121,52,53
197,122,50,51
201,126,48,50
202,129,47,46
205,131,46,46
206,132,44,47
208,134,42,43
210,139,39,37
210,142,38,37
212,143,41,33
214,143,42,36
215,146,44,37
216,149,47,38
214,151,53,44
218,155,54,47
220,159,54,45
221,162,53,46
225,168,49,39
228,176,47,34
229,179,44,33
231,184,47,32
229,189,47,34
230,189,44,38
230,192,48,44
231,192,50,51
233,195,49,52
234,196,47,52
234,200,47,46
239,210,44,36
240,217,50,35
241,223,50,33
296,262,53,34
244,227,54,41
246,230,55,41
248,230,51,45
247,228,53,53
252,229,48,55
250,235,49,50
250,240,49,49
